Non T2D 1	Non T2D 2	Non T2D 3	Non T2D 4	Non T2D 5	Non T2D 6
NOC2L	2816	6251	516	2368	1242	792
PERM1	36	0	1	119	8	15
FAM41C	11	10	0	1	1	2
PLEKHN1	0	27	0	450	70	146
SAMD11	272	6375	422	3150	1286	347
ISG15	1479	4953	1558	3577	765	1347
HES4	32	114	32	3861	1277	1908
RNF223	0	0	0	159	2	38
AGRN	373	1009	88	7801	903	1242
TNFRSF4	0	1	1	0	325	1247
MIR200B	0	0	0	0	1	0
MIR200A	0	0	0	0	0	0
MIR429	7	18	0	7	11	0
TTLL10	0	0	0	72	8	24
B3GALT6	1009	2552	1122	2414	1583	828
SDF4	7560	26604	1698	27937	10925	6924
TNFRSF18	0	865	42	6	104	87
LINC01342	0	0	16	21	0	0
DVL1	1418	2890	1040	3018	1337	744
SCNN1D	479	1096	84	125	55	49
TAS1R3	0	401	0	11	0	0
MIR6808	0	0	0	1	0	0
CPSF3L	4915	13632	1545	5437	2466	1770
UBE2J2	2072	11907	2073	5847	2819	1286
MXRA8	842	187	130	94	1893	1535
PUSL1	1318	4419	377	2841	1195	918
ACAP3	751	2321	266	5507	3019	1050
CPTP	462	1051	10	4648	752	620
MIR6727	0	6	0	0	2	2
MIR6726	0	0	0	0	0	0
ANKRD65	3770	14230	1688	3843	2990	1328
VWA1	2103	11683	1463	10267	11064	11605
ATAD3C	1101	1669	580	881	805	272
TMEM88B	0	0	0	0	0	0
MRPL20	7452	26569	7568	9213	5179	3553
CCNL2	6153	26611	8799	8619	4490	2943
ATAD3B	514	953	245	1006	441	254
LOC148413	1202	3851	1005	2066	855	689
MIB2	510	1173	152	3212	2657	1301
MMP23A	0	0	0	0	0	0
ATAD3A	180	1360	201	1506	624	432
SSU72	4162	28737	13257	19196	10133	5950
MMP23B	0	0	0	0	3	0
C1orf233	234	1020	178	598	319	139
TMEM240	0	41	1	33	37	12
SLC35E2	122	1376	381	621	327	149
CDK11A	74	422	42	218	84	41
SLC35E2B	438	2963	918	1461	613	233
GNB1	8294	33607	12700	17054	8830	4128
TMEM52	228	1001	59	2138	108	33
CALML6	0	1	1	4	1	0
GABRD	0	0	0	0	17	4
KIAA1751	1	3	0	6	5	0
C1orf86	1618	8057	636	7272	6874	4548
PEX10	873	5996	258	1698	760	473
LOC100129534	487	2241	348	405	389	170
RER1	4646	24227	7333	9215	3400	2205
MORN1	184	780	88	255	357	70
PLCH2	61	61	32	1902	189	267
PANK4	3131	7307	1734	1641	714	560
LOC100133445	410	449	72	452	243	150
LOC115110	132	291	193	188	52	185
HES5	0	1	0	0	1	0
FAM213B	1087	4025	418	2198	827	1267
MMEL1	36	9	58	74	6	16
LOC100996583	83	141	6	12	0	2
ACTRT2	0	0	0	0	0	0
LINC00982	53	219	153	498	88	130
MIR4251	0	0	0	0	0	0
ARHGEF16	635	3608	578	4224	822	630
MIR551A	0	0	0	0	0	0
TP73	0	492	48	88	39	11
TP73-AS1	431	2452	1185	1661	1312	486
WRAP73	777	5255	903	2266	1276	630
TPRG1L	2501	8406	3786	3804	3578	1339
LRRC47	2437	8123	3265	5331	2510	1377
CEP104	758	1804	1567	2578	1354	378
SMIM1	568	2333	157	893	1060	292
C1orf174	4223	7705	6189	2524	1309	625
LINC01134	0	128	36	190	63	5
LINC01346	0	0	0	0	0	0
LOC284661	0	0	0	0	0	3
MIR4417	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0
RPL22	3428	10463	4570	6393	3499	1089
RNF207	85	1714	540	650	501	260
CHD5	316	1251	237	231	438	79
GPR153	265	550	132	139	117	75
LINC00337	1	1	1	15	56	2
HES3	0	0	0	1	0	0
MIR4252	0	0	0	0	0	0
ESPN	0	9	0	42	43	29
TNFRSF25	107	480	83	78	46	5
HES2	0	1	0	3	1	24
TAS1R1	0	0	0	9	10	0
KLHL21	1827	4999	2140	4615	992	552
NOL9	937	3288	1598	900	575	304
ZBTB48	462	5701	838	1081	1038	550
PHF13	646	2823	344	1261	906	242
DNAJC11	1396	5962	459	2435	579	452
THAP3	2033	5073	2168	1652	1184	564
LOC100505887	0	0	0	0	0	0
VAMP3	5426	26240	11303	8544	4373	2272
UTS2	92	0	3	4	41	0
PARK7	29157	96496	45732	26142	15898	6908
ERRFI1	1103	7664	2723	3312	921	497
ENO1	45304	212303	42793	97703	30862	21244
CA6	0	0	0	1	0	0
ENO1-AS1	247	376	83	111	68	2
MIR6728	0	0	1	0	1	0
SLC2A7	0	0	0	0	0	0
SLC2A5	0	1	0	6	0	12
MIR34A	0	0	0	0	0	0
SPSB1	716	1268	221	2433	793	724
LOC100506022	0	295	6	61	40	9
TMEM201	273	2100	224	1555	980	554
SLC25A33	181	1138	464	843	527	188
C1orf200	0	0	0	0	0	0
PIK3CD	249	529	138	747	234	120
RBP7	0	418	142	51	128	106
LZIC	1783	5582	2206	1400	915	263
NMNAT1	608	2494	511	804	441	131
PGD	3325	19602	4129	12935	4196	2608
APITD1	459	773	340	213	101	44
APITD1-CORT	0	0	0	0	0	0
DFFA	3542	12003	3579	5160	2098	1072
CORT	0	175	38	16	11	0
TARDBP	6555	22245	11417	5679	2800	1201
SRM	569	2671	1124	11431	4209	2901
MASP2	357	560	709	123	60	20
ANGPTL7	0	0	1	22	0	0
MTOR-AS1	0	10	0	8	3	0
UBIAD1	2510	6273	1987	3214	1027	473
PTCHD2	86	560	50	634	266	5
FBXO6	1983	5214	757	1429	1084	465
FBXO44	3762	8166	689	2945	1947	670
MAD2L2	2868	14128	2550	4885	3243	1226
FBXO2	1785	9080	1540	12675	4842	2155
DRAXIN	1	0	3	2	4	0
LOC101929181	0	5	0	2	2	1
CLCN6	2362	5161	2808	3522	1662	468
NPPA-AS1	155	202	58	115	20	33
NPPB	0	0	0	218	15	12
NPPA	56	277	62	369	65	26
MTHFR	1453	3892	1244	2756	1304	501
C1orf167	0	1	0	3	0	0
PLOD1	4126	12657	3013	7952	2428	3277
KIAA2013	1569	5315	1314	3088	1803	1109
MIIP	2166	6623	735	2371	1834	682
MIR6729	0	2	0	0	0	0
TNFRSF1B	523	65	0	0	58	15
MIR4632	1	0	0	0	0	0
MIR7846	1	0	0	0	0	1
SNORA59A+SNORA59B	0	0	0	0	0	0
DHRS3	16326	41204	18095	34255	4562	5575
MIR6730	8	4	0	2	0	0
PRAMEF12	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
C1orf158	79	17	175	19	150	23
PRAMEF2	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
LOC649330	0	0	0	0	0	0
HNRNPCL1	0	1	0	0	0	0
PRAMEF1	0	0	0	0	0	0
PRAMEF7+PRAMEF8	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0
HNRNPCL2	2	3	1	0	0	1
PRAMEF5	0	0	0	0	0	0
LOC645354+LOC649324	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0
LOC400736+PRAMEF14	0	0	0	0	0	0
PRAMEF17	0	0	0	0	1	0
PRAMEF20	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0
PDPN	624	0	1059	55	76	0
PRDM2	1217	5702	2991	3355	1151	416
TMEM51	1920	4875	619	9422	2264	1888
C1orf195	0	14	0	9	3	1
CASP9	1590	1604	772	1321	580	410
CELA2A	1452	4063	1372	91399	1091	71
EFHD2	1157	3723	760	8596	1965	1287
CTRC	27385	31490	6674	197905	4229	26
CELA2B	457	165	106	2651	7	6
DDI2	159	686	53	406	108	25
AGMAT	65	619	32	805	65	22
RSC1A1	115	533	293	251	88	38
SLC25A34	928	6853	555	898	1593	490
PLEKHM2	2554	13897	1007	3675	2736	1133
FBLIM1	2059	7236	763	9927	1457	1377
TMEM82	0	84	0	54	32	14
UQCRHL	1790	4825	1565	3235	1351	766
FLJ37453	1020	3348	1047	2509	1151	448
ZBTB17	1257	5060	712	2964	1298	840
CLCNKB	0	113	52	60	9	149
CLCNKA	0	12	5	26	10	31
C1orf64	0	0	0	0	0	0
HSPB7	0	2	0	490	40	28
EPHA2	294	601	340	2832	171	1252
FAM131C	114	1462	501	2334	2021	1013
RSG1	422	386	76	230	285	87
ARHGEF19	60	178	177	842	121	60
SZRD1	7373	9717	1149	11547	4939	2916
SPATA21	17	0	0	6	0	0
CROCCP3	321	778	416	164	189	40
MIR3675	0	0	0	0	0	0
MST1P2	6	267	169	779	342	100
CROCCP2	1078	2978	865	1060	778	345
FAM231A	0	0	0	0	0	0
MST1L	36	533	325	1568	319	160
CROCC	408	1569	388	740	521	282
ATP13A2	2863	5220	892	7610	3350	2537
SDHB	14693	38018	23309	18498	4699	2857
PADI4	0	15	0	0	0	0
PADI3	0	0	0	94	0	1
RCC2	535	1254	570	2622	546	629
PADI6	0	0	0	0	0	0
KLHDC7A	270	0	7	355	43	102
TAS1R2	0	0	0	0	0	0
ALDH4A1	145	1504	48	1158	240	140
MIR4695	0	0	0	0	0	0
AKR7A2	5730	27286	5656	10583	9224	3635
PQLC2	1844	6785	1202	3222	2124	1093
AKR7A3	771	282	151	7100	201	56
AKR7L	179	177	69	491	17	29
LOC100506730	85	670	291	213	167	94
EMC1	3419	11857	4417	3531	2246	919
MRTO4	1990	4806	2011	3180	1386	394
MINOS1	11750	26263	11471	6905	4509	1986
NBL1	0	1.85714285714286	0.142857142857143	8.14285714285714	24.5714285714286	19.7142857142857
MINOS1-NBL1	0	0	0	0	0	0
HTR6	0	16	0	0	0	0
RPS14P3	2957	8995	1716	4021	1691	968
RNF186	207	1073	305	2007	110	42
PLA2G2A	1	0	37	112	975	0
PLA2G2E	0	0	0	0	0	0
OTUD3	788	2111	660	518	435	210
PLA2G2D	0	0	0	0	0	0
PLA2G5	0	0	0	0	1	0
PLA2G2F	0	0	0	4	0	0
UBXN10	260	2420	1063	264	222	83
PLA2G2C	0	0	0	0	0	0
UBXN10-AS1	0	16	1	1	54	3
VWA5B1	0	113	0	235	18	8
CAMK2N1	7476	25072	16229	5500	6550	1829
MUL1	4163	13354	2993	5971	2339	1912
CDA	0	0	0	0	0	24
FAM43B	1	0	0	3	24	0
MIR6084	0	0	0	0	0	0
DDOST	26600	93579	27640	28363	11006	6433
KIF17	0	0	1	0	17	68
SH2D5	33	19	82	5	20	0
LOC100506801	0	266	0	68	23	0
NBPF3	926	1522	249	278	256	59
RAP1GAP	9926	33451	4774	33466	8097	4655
LINC00339	2104	4096	1220	1588	1132	142
CELA3B	4190	2826	1217	93433	3173	60
CELA3A	41467	32477	14541	285920	7512	1096
LOC101928043	0	180	25	59	21	29
WNT4	3263	24276	2683	4111	8960	4199
EPHA8	0	255	25	132	170	139
C1QC	579	0	0	0	2464	0
C1QB	72	3	0	1	1214	0
MIR4684	0	0	0	0	0	0
C1QA	0	0	0	0	1272	0
MIR6127	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0
LACTBL1	0	0	0	0	0	0
C1orf234	0	22	0	0	0	2
KDM1A	1355	6523	5509	3045	2037	988
MIR3115	0	0	0	3	0	0
HTR1D	0	19	0	0	12	0
HNRNPR	12107	34344	18098	10723	4413	2016
ZNF436	587	3131	670	605	382	112
LINC01355	80	230	498	165	164	26
C1orf213	326	384	472	141	277	1
ASAP3	666	978	136	1746	136	121
LOC101928163	0	1	0	2	2	0
MDS2	0	0	0	1	0	0
ID3	5438	14111	7553	17127	1876	6606
RPL11	19128	81025	17247	82032	33188	17279
TCEB3	2976	11553	6107	4304	2808	1370
TCEB3-AS1	199	491	98	129	129	43
PITHD1	5348	20198	10747	4724	3687	1719
HMGCL	8995	19582	7487	7677	3367	1502
FUCA1	11570	39370	16807	9534	4849	1867
GALE	3476	9701	1565	4016	2170	1652
LYPLA2	2997	11900	540	5235	2094	1699
CNR2	0	0	0	0	0	0
SRSF10	2823	10736	6089.5	3035.5	1279.5	563.5
MIR378F	0	0	0	0	0	0
PNRC2	3549	12854	9016	2212	1593	443
MYOM3	0	0	0	12	0	0
IL22RA1	569	386	8	1288	0	57
LOC284632	0	0	0	4	0	0
STPG1	1124	4775	681	704	669	315
GRHL3	31	304	1	71	35	42
RCAN3AS	194	906	252	105	270	31
RCAN3	1018	6886	1279	3794	1383	635
LOC100506985	1619	1504	1111	385	420	135
SRRM1	6369	20837	5446	8285	3841	1783
RUNX3	0	59	0	0	28	0
MIR6731	0	0	0	0	0	0
SYF2	6602	16254	13197	5231	2133	1310
RHD	8	78	24	1	15	6
RSRP1	3225	12079	6998	2293	2573	484
TMEM50A	12465	39258	23172	11885	4488	3269
LDLRAP1	6536	33072	2327	7375	8517	3293
LOC646471	170	1181	185	811	176	128
PAQR7	3099	6178	1016	2274	908	350
SEPN1	1623	5313	1722	3328	2312	943
AUNIP	1	0	0	92	20	9
MTFR1L	7668	20060	8118	4531	2472	1268
PAFAH2	2835	6468	2096	2768	1072	561
MIR3917	70	519	245	153	102	55
SLC30A2	1783	1554	2	7692	102	628
TRIM63	0	538	0	1278	0	59
EXTL1	0	63	15	150	31	11
PDIK1L	2303	5672	2327	907	390	133
CNKSR1	2158	5739	767	1572	813	655
ZNF593	1296	8647	909	7040	2156	1631
CEP85	1282	3324	1100	1228	605	178
CATSPER4	0	0	0	0	0	0
FAM110D	0	0	5	15	2	34
LOC101928303	445	1235	215	318	395	124
ZNF683	0	0	0	0	0	0
CD52	0	217	0	5	5	0
UBXN11	1632	3128	772	1149	611	348
AIM1L	107	146	0	233	4	19
DHDDS	5810	6918	2563	2892	1809	934
HMGN2	2406	13960	1706	1343	2348	1313
MIR1976	0	0	0	0	0	0
PIGV	1433	5908	1511	1882	1010	260
ARID1A	3535	12555	4804	9122	2890	1125
GPN2	2027	6028	1083	2035	1252	576
ZDHHC18	156	1381	340	393	832	187
SFN	182	61	9	158	0	22
GPATCH3	1222	5209	655	1852	877	523
NR0B2	3576	16761	4858	7712	2026	2474
KDF1	2589	10231	1875	4707	2401	907
FAM46B	341	774	78	1436	260	298
TRNP1	1110	4302	1786	1271	1385	546
SLC9A1	584	1869	262	4192	812	771
WDTC1	706	2646	523	3277	1934	1080
LOC644961	1037	5966	1855	2004	1163	641
SYTL1	1725	7061	614	4190	2732	1449
FCN3	0	7	0	0	0	260
MAP3K6	416	1171	119	341	339	320
GPR3	265	319	0	26	238	173
CD164L2	50	16	0	55	136	17
FGR	0	0	0	8	2	0
IFI6	17797	38002	23116	12410	15732	5924
SCARNA1	0	100	68	61	28	7
FAM76A	7362	11831	10262	1649	846	284
STX12	4116	14065	5759	4353	2068	1119
PPP1R8	584	3924	1908	1083	598	279
THEMIS2	743	1458	319	1671	392	203
XKR8	364	3159	578	1097	879	302
SMPDL3B	818	5973	44	4357	829	314
RPA2	7852	16605	13063	3162	2019	776
ATPIF1	27380	84306	40035	29984	15514	8247
PTAFR	1	3499	77	89	94	2
DNAJC8	10096	20957	16954	6022	3474	1748
SESN2	4085	21097	1432	5608	4420	1815
MED18	377	2186	592	836	644	311
TRNAU1AP	877	4337	2067	1449	859	636
SNORA61	140	343	156	146	77	16
SNORA44	5	25	2	56	48	30
SNORA16A	5	10	1	123	69	24
RAB42	91	62	0	14	13	5
SNORD99	130	139	62	22	9	10
SNHG12	802	2296	945	1478	804	287
YTHDF2	4589	18095	6798	6676	2357	1346
GMEB1	1	1927	731	1062	266	130
RNU11	0	15	4	7	6	1
OPRD1	0	41	11	46	488	398
TMEM200B	0	0	0	8	29	56
MECR	2627	6439	1748	2610	1049	483
LOC101928460	0	52	0	0	0	0
LOC101929406	0	0	0	0	0	0
LAPTM5	2266	3579	147	2	1253	11
MIR4420	0	0	0	0	0	0
SNORD103A+SNORD103B	0	0	0	0	0	0
SDC3	24	674	5	603	141	233
SNORD85	0	0	0	0	0	0
NKAIN1	1407	1258	78	99	362	142
ZCCHC17	3022	11392	8199	3245	1945	1013
FABP3	38	550	69	133	124	112
SNRNP40	3411	15980	6518	2007	1349	685
SERINC2	9377	14327	1055	59113	6709	7765
LINC01225	0	0	0	26	0	0
TINAGL1	776	4160	578	15744	2435	3389
PEF1	6976	31854	5508	9380	4371	2672
HCRTR1	0	98	0	0	0	0
LINC01226	0	0	0	19	1	0
BAI2	0	0	85	49	44	8
MIR4254	0	0	0	0	0	0
COL16A1	274	228	230	609	281	441
SPOCD1	0	0	0	4	0	6
TMEM39B	1850	4782	1130	2027	1460	599
LCK	0	1	229	0	4	0
IQCC	833	1697	541	334	251	100
DCDC2B	135	280	59	72	75	30
EIF3I	12612	39824	16217	15373	6197	3551
TXLNA	15509	29875	3173	7343	3728	2033
CCDC28B	5544	9782	3072	2714	1949	692
FAM167B	7	49	142	48	82	243
MTMR9LP	725	4123	1157	1135	783	706
TMEM234	697	3026	1241	887	585	411
BSDC1	8001	18800	2660	8476	2399	1525
MARCKSL1	986	6811	2709	15808	2862	3130
FAM229A	25	321	27	222	195	259
TSSK3	0	4	0	232	24	47
ZBTB8B	0	10	0	4	65	24
RBBP4	5346	16404	8768	5830	2164	1026
ZBTB8OS	3053	7188	5290	2003	1028	604
KIAA1522	2456	7516	978	15315	1063	1405
YARS	13501	31061	7373	8141	4553	2606
HPCA	119	745	132	880	875	170
FNDC5	240	778	194	24	51	7
TMEM54	1365	7718	1430	20481	7888	5197
AK2	8455	26441	11625	8118	5643	2338
TRIM62	123	869	71	639	465	114
ZNF362	711	3349	432	2620	964	659
MIR3605	2	30	0	1	2	0
A3GALT2	0	0	0	0	0	0
HMGB4	0	0	0	0	1	0
C1orf94	0	0	0	5	0	0
GJB5	0	0	0	13	0	0
GJB4	0	0	0	103	10	6
GJB3	0	272	0	38	87	50
GJA4	0	1142	183	456	12	221
DLGAP3	142	935	50	652	680	351
SMIM12	3751	13638	6667	8635	2421	1817
ZMYM6	1571	4555	1955	1432	424	216
ZMYM6NB	3767	19041	11554	4477	2621	1346
LOC653160	0	472	33	252	111	47
ZMYM1	546	2136	963	415	369	133
NCDN	1213	2855	787	3526	1434	790
PSMB2	9978	39630	18132	13684	8050	4308
CLSPN	1	194	96	310	56	21
C1orf216	762	2891	502	1133	725	597
AGO1	1632	5443	2752	3124	787	342
TEKT2	212	570	222	351	281	91
ADPRHL2	4135	11672	3593	3827	2268	1040
COL8A2	0	22	5	6	0	0
TRAPPC3	15718	27033	12441	10251	4820	2846
MAP7D1	713	7063	2307	3651	2353	1627
SH3D21	1	0	0	32	42	48
EVA1B	332	350	24	918	1539	1616
OSCP1	910	3206	1400	1025	689	357
LSM10	4702	15518	5088	5000	3641	1633
CSF3R	0	8	0	0	65	0
MRPS15	5696	18347	7698	9845	3994	2193
MIR4255	0	0	0	0	0	0
MEAF6	13272	34295	20509	5458	4707	1532
LINC01137	319	2417	692	843	254	393
ZC3H12A	593	4336	131	4174	837	807
MIR5581	0	1	0	0	1	0
MIR6732	7	21	0	12	5	6
RSPO1	0	1	0	0	12	0
GNL2	5235	16111	7333	4635	1637	755
DNALI1	2995	7675	3488	2801	2182	1008
EPHA10	3	173	22	215	140	44
MANEAL	1233	5045	3350	1802	2893	1218
C1orf109	2523	4506	1168	838	383	193
CDCA8	0	3512	46	117	369	78
MTF1	773	6368	981	1909	994	421
C1orf122	4024	25807	3422	9593	12304	4578
FHL3	50	2654	762	927	319	846
SF3A3	3730	10380	8097	2751	1506	771
UTP11L	5704	10514	8590	2556	1151	690
POU3F1	1	79	2	69	87	7
MIR3659	0	0	0	0	0	0
LINC01343	0	0	0	0	0	0
RHBDL2	122	601	84	321	132	182
MYCBP	21	108	1	62	38	16
GJA9-MYCBP	0	6.75	1.5	12.25	18.5	6.25
GJA9	0	0	0	0	0	0
NDUFS5	20163	58721	23735	17921	12113	5459
AKIRIN1	2691	15713	3557	5520	2779	1265
KIAA0754	74	1467	161	379	199	54
HEYL	515	1348	1723	2094	1475	1189
PABPC4	2674	7280	2645	5325	1951	798
PPIEL	1019	288	347	237	263	99
SNORA55	0	9	1	24	0	0
PPIE	8648	23183	11722	6325	4155	2187
NT5C1A	0	0	0	22	0	1
HPCAL4	0	235	129	27	7	4
OXCT2	66	91	42	30	77	9
TRIT1	467	1666	1417	1392	487	242
MYCL	8	64	0	413	78	24
MFSD2A	146	828	357	225	106	72
CAP1	15368	34562	21960	11479	5580	3342
PPT1	44635	93117	67442	14472	8050	4236
ZMPSTE24	10131	16105	10981	5796	1883	872
TMCO2	0	0	26	15	5	0
SMAP2	2339	6295	3360	3028	2602	725
COL9A2	299	2393	1139	866	2107	1091
EXO5	758	1545	341	588	293	197
ZFP69	1	52	204	78	59	20
ZNF684	574	1438	907	445	201	48
ZFP69B	0	162	641	72	91	45
RIMS3	23	605	0	139	63	39
NFYC	2076	7564	1817	4029	1645	1013
MIR30C1	0	0	0	0	0	0
MIR30E	0	0	0	0	0	0
CITED4	110	255	45	8978	2326	2426
CTPS1	1868	6316	2187	1937	732	461
SLFNL1	0	74	0	2	0	0
SLFNL1-AS1	7	157	61	38	35	17
FOXO6	26	58	5	77	84	37
EDN2	0	852	0	343	136	224
GUCA2B	88	469	5	2785	3	293
GUCA2A	0	131	0	125	11	233
ZMYND12	494	1591	406	288	391	122
PPCS	9657	19605	13532	6895	3142	1380
CCDC30	168	676	69	92	96	19
LEPRE1	2982	12421	4467	2934	2598	1779
CLDN19	0	0	0	0	0	0
YBX1	1477	4995	2697	4467	2250	895
PPIH	704	2691	882	1358	738	541
C1orf50	855	6950	2995	989	829	466
ZNF691	2429	4019	2999	694	748	288
CCDC23	969	4490	1964	3078	1178	670
ERMAP	1630	3857	533	967	626	247
LOC339539	1	58	0	67	5	12
SLC2A1	1917	9054	1308	5300	1277	1184
SLC2A1-AS1	115	218	62	169	64	48
EBNA1BP2	7293	19893	10122	6237	3113	1607
FAM183A	0	98	2	9	27	5
MIR6733	3	0	2	1	1	0
C1orf210	2218	10525	1932	3937	2023	940
TMEM125	4947	11721	2326	8315	2857	1470
ELOVL1	10286	30920	9961	21097	4125	3407
MED8	4117	13797	7381	3968	2294	1260
MPL	1236	5064	1987	151	273	146
CDC20	0	1644	72	143	654	62
MIR6734	0	1	5	15	4	0
HYI	0	0	0	0	0	0
MIR6735	1	22	5	7	3	0
KDM4A	1336	4204	267	3772	1386	761
ARTN	0	280	5	107	126	29
MIR6079	0	3	0	0	0	0
ATP6V0B	64211	171764	46522	51877	36642	22142
SLC6A9	344	1750	180	2505	1006	274
B4GALT2	1154	4357	780	2531	1182	604
DPH2	1854	6489	1263	2642	907	604
CCDC24	1557	6079	564	2504	2142	554
KLF17	0	1	0	3	0	0
DMAP1	3841	12525	5032	4235	2644	1539
MIR5584	0	0	0	0	0	0
C1orf228	298	617	67	75	246	24
TMEM53	2180	9016	1099	2533	1235	950
PTCH2	6	84	0	51	40	22
RPS8	8728	42293	10589	30782	12357	6238
SNORD38B	3	18	3	7	5	3
SNORD38A	8	132	2	49	9	4
SNORD46	23	14	0	54	31	5
BEST4	0	613	157	55	4	34
BTBD19	0	235	4	43	51	37
SNORD55	7	54	19	49	15	16
PLK3	193	1621	433	576	486	499
TCTEX1D4	67	0	0	55	0	1
UROD	7569	29486	10912	8136	5248	2665
HECTD3	2511	5990	1369	5855	1335	772
MUTYH	848	4701	804	1531	789	328
HPDL	19	0	0	126	3	7
LINC01144	0	266	5	301	84	17
TOE1	163	2502	705	718	393	350
PRDX1	12655	49330	17627	32332	8892	7636
MMACHC	262	1333	34	858	213	28
CCDC163P	87	191	0	123	81	24
AKR1A1	15092	40530	17893	21652	7418	4022
RPS15AP10	89	169	83	14	57	13
CCDC17	0	51	12	91	46	3
NASP	1438	6131	2144	3515	1745	696
IPP	1257	5240	1401	753	470	136
TMEM69	2075	5429	4237	2948	852	619
TSPAN1	2531	22954	6506	10413	3064	2709
UQCRH	8741	20827	9367	13218	5599	2920
RAD54L	0	206	49	90	34	5
LRRC41	8255	32193	5189	8634	5053	2642
LURAP1	0	149	50	7	30	25
NSUN4	1290	8221	2335	4455	1657	787
LINC01398	0	0	0	0	0	2
FAAH	1151	7202	1551	3358	1661	964
FAAHP1	0	98	0	56	37	0
KNCN	0	0	0	0	0	0
DMBX1	0	1	0	1	0	3
MKNK1-AS1	0	11	15	7	0	2
MOB3C	916	4126	675	968	978	316
ATPAF1	825	3955	4068	4154	1929	948
EFCAB14	6270	23629	8983	9014	4167	1413
TEX38	0	20	0	20	7	0
EFCAB14-AS1	1	47	0	6	4	0
CYP4B1	0	0	0	2	0	0
CYP4A11	0	0	0	0	0	0
CYP4X1	94	0	191	1353	88	179
TAL1	0	4	23	0	2	0
PDZK1IP1	5390	33564	1705	11632	2655	2228
LINC00853	10	140	1	70	2	2
CYP4A22	0	0	0	7	2	0
STIL	546	611	50	269	71	74
FOXE3	0	1	0	0	2	0
FOXD2	59	26	108	49	15	0
FOXD2-AS1	0	0	0	49	23	0
SLC5A9	0	219	238	164	43	118
BEND5	522	1881	916	898	618	252
AGBL4-IT1	0	0	0	1	2	0
DMRTA2	0	0	0	3	0	0
CDKN2C	240	3702	667	1063	927	238
C1orf185	0	0	0	0	0	0
RNF11	2536	7925	6157	7301	3800	1375
MIR761	0	0	0	1	0	0
TXNDC12	10423	30353	14147	7997	4242	2181
BTF3L4	4736	12238	7484	2033	1306	548
KTI12	0	0	0	0	0	0
ORC1	1	580	3	111	49	16
PRPF38A	1798	4946	3500	1033	842	442
GPX7	898	7601	1708	1547	1668	861
COA7	1249	3749	1789	763	535	165
FAM159A	0	392	0	1	174	31
ECHDC2	4139	17647	5812	6406	3177	1877
PODN	96	1021	582	114	1341	386
SLC1A7	0	16	0	0	1	21
LOC100507564	34	132	173	131	30	24
C1orf123	2528	12521	5714	2736	2493	1160
MAGOH	348	2442	945	1981	1003	465
CPT2	1931	7884	2022	3505	1348	632
DMRTB1	0	0	0	0	0	0
SLC25A3P1	0	1	0	0	0	0
DIO1	0	176	8	16	8	2
YIPF1	2807	10935	4496	3528	1453	786
LRRC42	2250	10287	3533	3470	2113	1158
TMEM59	58741	248955	124886	54531	30856	12830
LDLRAD1	532	1091	264	62	185	132
MIR4781	0	0	0	1	0	0
CDCP2	0	0	0	0	0	0
MRPL37	9179	22488	7778	9298	3735	2211
SSBP3-AS1	1	532	772	70	114	25
FAM151A	0	44	0	11	13	1
MROH7	53	361	50	15	61	58
C1orf177	0	0	0	3	11	1
TTC4	90	339	74	142	145	35
TTC22	56	1019	123	651	725	387
PARS2	712	2708	394	670	493	211
DHCR24	5438	19988	2792	18423	1515	1418
PCSK9	0	341	1	1322	143	22
BSND	0	0	0	4	0	0
TMEM61	1248	5674	2196	1087	3095	1167
LOC100507634	45	237	21	68	55	34
MIR4422	0	0	0	0	0	0
C8A	0	282	0	7	0	0
TACSTD2	11646	105281	8618	157200	12042	10061
MYSM1	1520	3807	2350	1281	476	328
JUN	4536	6933	1231	27696	3847	1238
LINC01135	33	252	14	14	38	15
HSD52	72	109	340	59	2	0
MIR4711	0	0	0	0	0	0
LOC101926944	0	53	0	25	0	0
CYP2J2	420	655	336	1008	167	216
C1orf87	0	0	0	0	0	0
NFIA-AS2	0	0	54	0	17	0
NFIA-AS1	0	7	0	4	1	0
MGC34796	5	33	3	23	4	4
TM2D1	3818	15563	8566	4447	2424	994
L1TD1	0	0	0	1	22	19
ANGPTL3	110	136	470	50	27	9
FOXD3	0	0	0	0	0	0
MIR6068	0	0	0	0	0	0
FOXD3-AS1	1	0	0	3	0	0
ALG6	595	2505	1928	552	282	164
EFCAB7	1479	2836	1616	327	215	66
DLEU2L	0	209	41	26	25	13
ROR1-AS1	32	290	79	116	25	18
UBE2U	0	0	16	184	12	2
MIR4794	0	0	0	0	0	0
MIR3671	52	46	61	13	2	3
MIR101-1	0	0	2	2	0	0
LINC01359	0	11	0	40	1	1
